epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/person,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
0,49,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,99,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,149,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,199,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,239,,,,,,,,,,,,,,,,,,,,,,,,,,0.30081114172935486,0.6404109597206116,11.533333778381348,11.683333396911621,11.850000381469727,11.933333396911621,12.566666603088379,1.6666666269302368,0.6736228466033936,0.3562612235546112,0.5611174702644348,8.529942512512207,0.03162284940481186,0.03102181665599346,0.03104334883391857,0.029641324654221535,0.03166894614696503,0.861825704574585,0.8521248698234558,0.8440585732460022,0.8731140494346619,0.8572064638137817,0.33984676003456116,0.3446348011493683,0.358979195356369,0.3386039137840271,0.3512459993362427,0.654761791229248,0.30081114172935486,0.22562694549560547,0.5026226043701172,0.6411428451538086,0.6396807432174683
0,239,42.71666717529297,22.674999237060547,37.12083435058594,41.80416488647461,29.629167556762695,14.984136581420898,12.622782707214355,0.03428303077816963,0.03706688433885574,0.036173779517412186,0.0351385660469532,0.03978070244193077,1.842149257659912,1.5600718259811401,1.6361677646636963,1.8064045906066895,1.4913231134414673,0.3300206959247589,0.3343035876750946,0.3346170485019684,0.3310379087924957,0.3572466969490051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,249,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,299,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,349,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,399,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,449,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,479,,,,,,,,,,,,,,,,,,,,,,,,,,0.36388593912124634,0.6893423795700073,9.816666603088379,10.033333778381348,10.116666793823242,9.949999809265137,9.016666412353516,1.6666666269302368,0.7234200239181519,0.39442765712738037,0.571265697479248,8.037603378295898,0.02324383147060871,0.024255983531475067,0.024346478283405304,0.022881854325532913,0.02599509246647358,0.8582831621170044,0.859602689743042,0.8591835498809814,0.8737820982933044,0.8646227121353149,0.3033473789691925,0.3140298128128052,0.3082312047481537,0.30431148409843445,0.32933637499809265,0.6977165937423706,0.36388593912124634,0.35524073243141174,0.5465222597122192,0.6854565739631653,0.6932725310325623
1,479,64.79166412353516,56.10416793823242,63.25416564941406,63.9375,61.89583206176758,5.416666030883789,16.460952758789062,0.02683291956782341,0.030771741643548012,0.029023101553320885,0.02714685909450054,0.03357495367527008,2.590240240097046,2.300873041152954,2.5411274433135986,2.75677752494812,2.3581457138061523,0.3094732463359833,0.31986406445503235,0.31580406427383423,0.30856335163116455,0.3348183035850525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,499,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,549,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,599,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,649,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,699,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,719,,,,,,,,,,,,,,,,,,,,,,,,,,0.386351615190506,0.7109889984130859,6.800000190734863,7.933333396911621,7.166666507720947,7.066666603088379,8.366666793823242,1.6666666269302368,0.7380682229995728,0.40740421414375305,0.5911060571670532,8.242140769958496,0.023684190586209297,0.026160094887018204,0.023562056943774223,0.02412092685699463,0.02938186004757881,0.8697745203971863,0.865347146987915,0.8757098317146301,0.8825363516807556,0.8630183339118958,0.3148837983608246,0.33396390080451965,0.321708619594574,0.3162015676498413,0.3388465344905853,0.715076744556427,0.386351615190506,0.36548686027526855,0.5493728518486023,0.6861081719398499,0.7377423048019409
2,719,66.1624984741211,56.912498474121094,63.57083511352539,63.420833587646484,62.29166793823242,3.339743137359619,13.40101146697998,0.027075592428445816,0.031227895990014076,0.02932758256793022,0.027225056663155556,0.03681815415620804,1.946596384048462,1.8526016473770142,1.8638575077056885,1.9508697986602783,1.8510624170303345,0.30600690841674805,0.3189910352230072,0.31262606382369995,0.3074207901954651,0.3437783420085907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,749,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,799,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,849,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,899,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,949,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,959,,,,,,,,,,,,,,,,,,,,,,,,,,0.35749921202659607,0.6793981194496155,10.583333015441895,10.649999618530273,10.666666984558105,10.833333015441895,10.716666221618652,1.6666666269302368,0.7358935475349426,0.4079453647136688,0.5671607851982117,8.209617614746094,0.021408915519714355,0.024267228320240974,0.02304045297205448,0.022023482248187065,0.026529403403401375,0.8831258416175842,0.8777557611465454,0.8739660978317261,0.8745129704475403,0.884499728679657,0.3077447712421417,0.3289286196231842,0.3224683403968811,0.3132927119731903,0.34226998686790466,0.6830369234085083,0.35749921202659607,0.32169562578201294,0.5109463930130005,0.6897767186164856,0.6693272590637207
3,959,71.5999984741211,60.18333435058594,69.71666717529297,68.92500305175781,66.49166870117188,3.75,15.945352554321289,0.025204459205269814,0.028041694313287735,0.026493707671761513,0.02551139146089554,0.03374767675995827,2.4757730960845947,2.2421371936798096,2.404096841812134,2.6254143714904785,2.3960325717926025,0.3006184697151184,0.3105592131614685,0.306508332490921,0.3033997714519501,0.3323661983013153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,999,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1049,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1099,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1149,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
