epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/person,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
0,13,,,,,,,,,,,,,,,,,,,,,,,,,,0.10813029855489731,0.30410096049308777,14.616666793823242,14.616666793823242,14.616666793823242,14.616666793823242,14.616666793823242,92.58136749267578,0.24186304211616516,0.11279864609241486,0.45518815517425537,9.129996299743652,0.022585993632674217,0.02378745749592781,0.02382761426270008,0.023028112947940826,0.023967262357473373,1.142078161239624,1.1478933095932007,1.1415283679962158,1.1520432233810425,1.0755923986434937,0.27776437997817993,0.29601070284843445,0.284879595041275,0.28165727853775024,0.30212733149528503,0.2334391325712204,0.10813029855489731,0.07736866176128387,0.46145951747894287,0.3403954803943634,0.27480044960975647
0,13,19.753969192504883,19.654762268066406,19.849206924438477,19.900793075561523,18.253969192504883,99.89588928222656,9.788703918457031,0.0367504321038723,0.03978460282087326,0.037800438702106476,0.037386704236269,0.040788330137729645,1.0801230669021606,1.1086655855178833,1.0817925930023193,1.0933706760406494,1.0643115043640137,0.33088427782058716,0.34518885612487793,0.3330976068973541,0.33302247524261475,0.35674992203712463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,27,,,,,,,,,,,,,,,,,,,,,,,,,,0.1445750594139099,0.36612576246261597,14.616666793823242,14.616666793823242,14.616666793823242,14.616666793823242,14.616666793823242,0.0,0.29325342178344727,0.14057855308055878,0.5315849781036377,8.877771377563477,0.02449202537536621,0.025215795263648033,0.02535765990614891,0.02524925395846367,0.02589639462530613,1.0537663698196411,0.9941283464431763,1.0127633810043335,1.0121939182281494,1.115364670753479,0.2987717390060425,0.30245527625083923,0.3010055720806122,0.30238285660743713,0.324633926153183,0.30352792143821716,0.1445750594139099,0.12056662142276764,0.5360319018363953,0.32968035340309143,0.4116305708885193
1,27,10.384921073913574,10.384921073913574,10.384921073913574,10.384921073913574,10.384921073913574,19.474517822265625,9.41254711151123,0.0293517354875803,0.030810097232460976,0.030502555891871452,0.030044393613934517,0.030953308567404747,1.086977481842041,1.0686969757080078,1.0746190547943115,1.0840688943862915,1.0671991109848022,0.3207017779350281,0.32795920968055725,0.3247084617614746,0.3234993517398834,0.33946889638900757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,41,,,,,,,,,,,,,,,,,,,,,,,,,,0.307278573513031,0.6071226596832275,8.199999809265137,14.616666793823242,14.350000381469727,10.566666603088379,14.616666793823242,0.0,0.6130224466323853,0.30847060680389404,0.5257696509361267,8.446839332580566,0.026395626366138458,0.026068996638059616,0.026457276195287704,0.02688491716980934,0.029814310371875763,0.8161020278930664,0.9396631717681885,0.847333550453186,0.8262395262718201,0.896467924118042,0.3457551896572113,0.3189184069633484,0.3434232771396637,0.3464212417602539,0.3669453561306,0.6144185662269592,0.307278573513031,0.2805061638355255,0.513683021068573,0.6020179390907288,0.6123147010803223
2,41,11.79365062713623,10.7380952835083,10.710317611694336,11.36111068725586,10.7380952835083,-3.633045082551689e-07,8.674026489257812,0.02649318054318428,0.027458282187581062,0.026905009523034096,0.026691485196352005,0.029418859630823135,0.937030553817749,1.002519965171814,0.9528861045837402,0.9472345113754272,1.0538417100906372,0.30495724081993103,0.2999650537967682,0.30581730604171753,0.30539652705192566,0.33170461654663086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,49,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,55,,,,,,,,,,,,,,,,,,,,,,,,,,0.36283066868782043,0.6670281887054443,9.416666984558105,14.366666793823242,9.800000190734863,10.116666793823242,11.899999618530273,0.0,0.6764892935752869,0.36531704664230347,0.5523375272750854,7.899843215942383,0.021751396358013153,0.026017051190137863,0.024185121059417725,0.022655565291643143,0.02755105309188366,0.7865444421768188,0.8967885971069336,0.78690505027771,0.798659086227417,0.8396002054214478,0.3081345558166504,0.312656968832016,0.3244120478630066,0.30871516466140747,0.336354523897171,0.6747111678123474,0.36283066868782043,0.34353509545326233,0.5530216693878174,0.6359875798225403,0.7012542486190796
3,55,51.94047546386719,10.440476417541504,30.623016357421875,43.25396728515625,8.083333015441895,0.018081119284033775,8.444637298583984,0.027920227497816086,0.030974287539720535,0.03067750856280327,0.02951936051249504,0.0349092110991478,0.817054271697998,0.9356122016906738,0.8332805037498474,0.8248482346534729,0.904014527797699,0.3283507823944092,0.3236890435218811,0.33798977732658386,0.33040851354599,0.3594740629196167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,69,,,,,,,,,,,,,,,,,,,,,,,,,,0.3797210156917572,0.6918309926986694,8.533333778381348,11.133333206176758,9.699999809265137,8.649999618530273,10.833333015441895,0.0,0.7031365036964417,0.3825598359107971,0.5514253377914429,7.555607795715332,0.020929180085659027,0.020683731883764267,0.02084442414343357,0.020641576498746872,0.022829780355095863,0.7673630118370056,0.8449880480766296,0.7831422090530396,0.7794361710548401,0.8135232329368591,0.30101504921913147,0.29605552554130554,0.3050549328327179,0.2970111668109894,0.31961899995803833,0.7044394612312317,0.3797210156917572,0.3746434450149536,0.5500569939613342,0.6837416291236877,0.7001140117645264
