epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4222,2.29086,1.99562,0.00613,0.49221,0.44764,0.43087,0.14789,2.413,2.31715,0.01031,0.000663889,0.000663889,0.000663889
2,56.178,2.44742,2.31791,0.00708,0.14048,0.02509,0.01337,0.00299,nan,nan,nan,0.00127787,0.00127787,0.00127787
3,84.6234,2.50252,2.21874,0.00681,0.43002,0.3512,0.29108,0.10293,2.38161,2.3101,0.00961,0.00183904,0.00183904,0.00183904
4,113.824,2.42356,2.11992,0.00649,0.11877,0.12771,0.04969,0.01768,nan,nan,nan,0.0017624,0.0017624,0.0017624
5,142.762,2.28072,1.92941,0.00623,0.4402,0.40023,0.36768,0.14467,2.28975,2.04017,0.00902,0.0016832,0.0016832,0.0016832
6,170.738,2.1747,1.8636,0.00573,0.50654,0.41961,0.41183,0.16789,2.16522,2.0845,0.00815,0.001604,0.001604,0.001604
7,198.415,2.22883,1.83189,0.00577,0.56683,0.53118,0.5207,0.22205,2.14707,1.63061,0.00805,0.0015248,0.0015248,0.0015248
8,226.828,2.06872,1.71387,0.00545,0.53597,0.54162,0.50621,0.21628,2.11681,1.7924,0.00736,0.0014456,0.0014456,0.0014456
9,254.243,2.05641,1.58632,0.00511,0.18552,0.44128,0.23443,0.10201,2.4981,3.29642,0.00874,0.0013664,0.0013664,0.0013664
10,281.277,2.0602,1.63307,0.00522,0.59189,0.5667,0.55302,0.24587,2.02405,1.62261,0.00756,0.0012872,0.0012872,0.0012872
11,308.462,2.08099,1.61533,0.00494,0.12678,0.46636,0.22414,0.09457,2.42836,3.41011,0.00931,0.001208,0.001208,0.001208
12,336.411,2.03003,1.60583,0.00494,0.63673,0.64994,0.65534,0.32146,1.88834,1.4456,0.00661,0.0011288,0.0011288,0.0011288
13,365.367,1.95189,1.46068,0.00484,0.58022,0.4413,0.47679,0.2174,2.08448,nan,0.00765,0.0010496,0.0010496,0.0010496
14,393.834,1.96886,1.42889,0.00486,0.63961,0.62486,0.62616,0.30428,nan,nan,nan,0.0009704,0.0009704,0.0009704
15,421.514,1.95973,1.45125,0.00488,0.67804,0.65906,0.68116,0.35507,1.80599,1.29647,0.00617,0.0008912,0.0008912,0.0008912
16,450.347,1.92344,1.59228,0.0045,0.65439,0.60091,0.63384,0.31715,1.95017,1.43271,0.00674,0.000812,0.000812,0.000812
17,477.841,1.92351,1.48186,0.00453,0.62354,0.50855,0.55913,0.2864,1.92115,1.59585,0.00681,0.0007328,0.0007328,0.0007328
18,505.186,1.83049,1.45398,0.00427,0.65328,0.61916,0.66708,0.34231,1.82314,1.32247,0.00606,0.0006536,0.0006536,0.0006536
19,533.992,1.79304,1.34589,0.00405,0.65327,0.65108,0.67816,0.35522,1.82228,1.28193,0.00606,0.0005744,0.0005744,0.0005744
20,562.99,1.77639,1.33913,0.00401,0.68488,0.63968,0.66296,0.34359,1.85826,1.29576,0.00633,0.0004952,0.0004952,0.0004952
21,590.263,1.72288,1.34003,0.00387,0.67086,0.66468,0.69758,0.37886,1.74594,1.25745,0.00569,0.000416,0.000416,0.000416
22,618.194,1.70996,1.32463,0.00374,0.69524,0.62951,0.69632,0.36936,1.76735,1.22673,0.00591,0.0003368,0.0003368,0.0003368
23,644.912,1.70695,1.30267,0.00373,0.66834,0.6146,0.66655,0.36164,1.76322,1.32639,0.00576,0.0002576,0.0002576,0.0002576
24,673.404,1.6773,1.27169,0.00363,0.6635,0.65222,0.6829,0.37358,1.73591,1.27608,0.00563,0.0001784,0.0001784,0.0001784
25,700.419,1.63139,1.25221,0.00369,0.66324,0.65906,0.69812,0.38393,1.69914,1.25357,0.00552,9.92e-05,9.92e-05,9.92e-05
