epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,19.833,1.95163,1.71026,0.00476,0.60774,0.4187,0.50748,0.23873,2.08214,1.7889,0.00676,0.000663889,0.000663889,0.000663889
2,39.4367,2.0562,1.92212,0.00533,0.59008,0.61388,0.57339,0.25997,2.09029,1.57913,0.00757,0.00127787,0.00127787,0.00127787
3,60.2711,2.27659,1.9996,0.00579,0.5022,0.30217,0.34737,0.15001,2.23498,2.24204,0.00903,0.00183904,0.00183904,0.00183904
4,80.5135,2.31848,2.00845,0.00615,0.58196,0.64447,0.58553,0.28333,1.94676,1.50248,0.00725,0.0017624,0.0017624,0.0017624
5,100.841,2.0973,1.75039,0.00562,0.60684,0.60889,0.59158,0.28184,1.93904,1.54203,0.00747,0.0016832,0.0016832,0.0016832
6,120.897,2.19891,1.74195,0.00571,0.66092,0.56899,0.6084,0.29471,1.93288,1.64392,0.00683,0.001604,0.001604,0.001604
7,141.109,2.23562,1.93604,0.00591,0.51236,0.69783,0.50602,0.22685,1.99393,1.63804,0.0069,0.0015248,0.0015248,0.0015248
8,161.369,1.97761,1.66457,0.00503,0.60279,0.58951,0.57619,0.25886,2.03051,1.49861,0.00749,0.0014456,0.0014456,0.0014456
9,181.361,1.98841,1.66018,0.00488,0.59258,0.62691,0.61724,0.29995,1.94659,1.44102,0.00678,0.0013664,0.0013664,0.0013664
10,201.748,1.95058,1.76712,0.00485,0.61488,0.65173,0.65077,0.31611,1.87673,1.78574,0.0066,0.0012872,0.0012872,0.0012872
11,222.183,2.01098,1.67337,0.00471,0.71431,0.58723,0.67367,0.34015,1.82409,1.58909,0.00634,0.001208,0.001208,0.001208
12,242.527,1.94896,1.62755,0.00471,0.6104,0.7146,0.65139,0.32386,1.8683,1.80761,0.0063,0.0011288,0.0011288,0.0011288
13,262.805,2.01322,1.61197,0.0052,0.64227,0.67731,0.67134,0.33033,1.91178,1.31295,0.00653,0.0010496,0.0010496,0.0010496
14,283.08,1.98053,1.58121,0.00494,0.64002,0.67731,0.64779,0.30817,1.87677,1.35221,0.00654,0.0009704,0.0009704,0.0009704
15,303.118,1.98299,1.50722,0.00482,0.61663,0.70924,0.64972,0.28439,2.0736,1.35674,0.0073,0.0008912,0.0008912,0.0008912
16,323.553,1.94062,1.58414,0.00452,0.70165,0.6545,0.67726,0.35324,1.80813,1.49472,0.00639,0.000812,0.000812,0.000812
17,343.978,1.87545,1.50544,0.00438,0.67361,0.69892,0.69837,0.38044,1.70832,1.25834,0.00582,0.0007328,0.0007328,0.0007328
18,364.169,1.8606,1.49331,0.00426,0.6258,0.65336,0.63774,0.28959,2.00826,1.48462,0.00671,0.0006536,0.0006536,0.0006536
19,384.576,1.80871,1.43658,0.00402,0.67015,0.6545,0.68653,0.36907,1.78451,1.40856,0.00604,0.0005744,0.0005744,0.0005744
20,405.889,1.81739,1.41112,0.00405,0.64722,0.70468,0.69862,0.38889,1.7329,1.24297,0.0056,0.0004952,0.0004952,0.0004952
21,427.268,1.71488,1.28623,0.00375,0.62485,0.7252,0.71031,0.3969,1.67205,1.17818,0.0053,0.000416,0.000416,0.000416
22,447.765,1.71227,1.30777,0.00371,0.66931,0.68985,0.69899,0.37163,1.76876,1.19428,0.00577,0.0003368,0.0003368,0.0003368
23,467.756,1.69822,1.2843,0.00367,0.67538,0.68871,0.707,0.38721,1.70399,1.21925,0.00553,0.0002576,0.0002576,0.0002576
24,488.501,1.68348,1.24787,0.00363,0.67435,0.68757,0.70499,0.39207,1.66449,1.24376,0.0054,0.0001784,0.0001784,0.0001784
25,508.722,1.66408,1.22435,0.00378,0.66341,0.71266,0.70618,0.39392,1.66535,1.21027,0.00539,9.92e-05,9.92e-05,9.92e-05
