epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,57.3093,1.8903,1.59868,0.00458,0.68343,0.63284,0.66259,0.31664,1.99638,1.42919,0.00643,0.00995833,0.00331944,0.00995833,0.00331944,0.00995833,0.00331944,0.00995833,0.00331944
2,116.807,1.94578,1.79558,0.00481,0.5485,0.52084,0.50116,0.17958,2.25829,1.89262,0.00798,0.0195632,0.00652105,0.0195632,0.00652105,0.0195632,0.00652105,0.0195632,0.00652105
3,175.491,2.32981,2.07474,0.00596,0.14869,0.17218,0.07026,0.02114,3.14445,4.91905,0.0176,0.028772,0.00959066,0.028772,0.00959066,0.028772,0.00959066,0.028772,0.00959066
4,233.552,2.48889,2.3371,0.0067,0.37979,0.23033,0.2088,0.07135,2.47977,2.77649,0.00993,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,291.889,2.28611,2.02015,0.00621,0.43388,0.34518,0.33914,0.13828,2.30041,2.3023,0.00905,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,351.878,2.19411,1.99361,0.00574,0.39037,0.29133,0.27714,0.10381,2.42889,2.42393,0.00926,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,411.751,2.23717,1.80066,0.00565,0.0694,0.04447,0.01587,0.00528,3.26515,4.33413,0.02997,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,469.759,2.08193,1.83989,0.00527,0.36961,0.18853,0.19273,0.06626,2.5289,2.75511,0.01037,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,528,2.05077,1.67548,0.00503,0.56274,0.60547,0.57179,0.25658,2.00454,1.53071,0.0068,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,589.655,2.0976,1.65694,0.00524,0.51585,0.42036,0.42862,0.17433,2.24062,2.01887,0.00833,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,650.042,2.06265,1.61922,0.00472,0.72335,0.33865,0.52174,0.22812,2.18758,2.08657,0.00724,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,709.709,2.03074,1.61005,0.00481,0.60878,0.63626,0.62482,0.31216,1.84607,1.43856,0.00656,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,770.1,1.978,1.47208,0.0048,0.60614,0.50187,0.52993,0.24734,2.06748,1.79379,0.00748,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,832.231,1.9987,1.49345,0.00481,0.58199,0.25998,0.32228,0.13701,2.36132,2.81794,0.00875,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
