epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,20.0763,1.95163,1.71026,0.00476,0.60774,0.4187,0.50748,0.23873,2.08214,1.7889,0.00676,0.000663889,0.000663889,0.000663889
2,39.5817,2.0802,1.95589,0.00535,0.5739,0.58052,0.54485,0.24445,2.11463,1.67324,0.00773,0.00130421,0.00130421,0.00130421
3,59.5003,2.26324,1.98222,0.00581,0.57567,0.52908,0.52815,0.24873,1.93255,1.75125,0.00718,0.00191813,0.00191813,0.00191813
4,79.369,2.25588,2.02409,0.00579,0.62045,0.61916,0.59717,0.27187,2.06284,1.71146,0.00745,0.0018812,0.0018812,0.0018812
5,99.3333,2.11796,1.82086,0.00563,0.48632,0.42189,0.34117,0.14073,2.55559,2.22844,0.01178,0.0018416,0.0018416,0.0018416
6,119.078,2.02626,1.67431,0.00513,0.61852,0.65632,0.6146,0.30094,1.89039,1.4461,0.00685,0.001802,0.001802,0.001802
7,139.094,2.11777,1.70472,0.00526,0.57301,0.6317,0.56382,0.24436,2.037,1.54733,0.0077,0.0017624,0.0017624,0.0017624
8,159.054,2.01615,1.6906,0.00516,0.66213,0.64766,0.66261,0.32545,1.94112,1.41563,0.00661,0.0017228,0.0017228,0.0017228
9,179.142,1.96742,1.49643,0.00477,0.60561,0.59006,0.60214,0.29541,1.92269,1.43723,0.00691,0.0016832,0.0016832,0.0016832
10,199.216,2.04661,1.58468,0.00522,0.62957,0.64196,0.62262,0.31967,1.78758,1.44162,0.00598,0.0016436,0.0016436,0.0016436
11,219.279,2.07338,1.64253,0.00492,0.62279,0.68526,0.64602,0.326,1.84201,1.32357,0.00628,0.001604,0.001604,0.001604
12,239.472,2.02131,1.52775,0.00487,0.64185,0.68643,0.65924,0.34603,1.80575,1.37696,0.00626,0.0015644,0.0015644,0.0015644
13,259.664,1.9202,1.41181,0.0047,0.6488,0.68301,0.66446,0.32666,1.85802,1.32717,0.00643,0.0015248,0.0015248,0.0015248
14,279.732,1.91636,1.57296,0.00469,0.64208,0.70353,0.6858,0.34815,1.8285,1.23948,0.00659,0.0014852,0.0014852,0.0014852
15,299.966,1.99424,1.50029,0.00507,0.61626,0.71038,0.63015,0.32964,1.77947,1.31717,0.00613,0.0014456,0.0014456,0.0014456
16,319.988,1.87469,1.46782,0.00452,0.63712,0.68301,0.66886,0.3484,1.79733,1.26154,0.00628,0.001406,0.001406,0.001406
17,340.133,1.84844,1.36615,0.00478,0.60209,0.56214,0.58374,0.27647,2.0336,1.44371,0.00714,0.0013664,0.0013664,0.0013664
18,360.141,1.91271,1.43097,0.0044,0.62631,0.70902,0.68401,0.34818,1.81679,1.27455,0.00625,0.0013268,0.0013268,0.0013268
19,380.188,1.90811,1.29731,0.00451,0.62562,0.64766,0.65688,0.33817,1.82349,1.37217,0.00617,0.0012872,0.0012872,0.0012872
20,400.178,1.88154,1.4604,0.00437,0.63408,0.737,0.68215,0.34592,1.80373,1.39848,0.00632,0.0012476,0.0012476,0.0012476
21,420.242,1.85951,1.39099,0.00465,0.70235,0.70924,0.72433,0.37382,1.74462,1.29378,0.00611,0.001208,0.001208,0.001208
22,440.502,1.88372,1.38967,0.00459,0.63425,0.69996,0.6747,0.35136,1.79541,1.26211,0.00589,0.0011684,0.0011684,0.0011684
23,460.472,1.79896,1.47042,0.0044,0.67885,0.69416,0.69218,0.36836,1.7585,1.29729,0.00635,0.0011288,0.0011288,0.0011288
24,480.571,1.73926,1.32008,0.00417,0.65742,0.69213,0.69257,0.3765,1.72226,1.22872,0.00591,0.0010892,0.0010892,0.0010892
25,500.773,1.69911,1.2803,0.00393,0.6958,0.6545,0.6916,0.37098,1.75642,1.41124,0.00591,0.0010496,0.0010496,0.0010496
26,520.847,1.76367,1.35244,0.00435,0.64111,0.748,0.70819,0.38631,1.73003,1.18416,0.00563,0.00101,0.00101,0.00101
27,541.232,1.78863,1.20447,0.00424,0.68177,0.7081,0.70514,0.38614,1.70335,1.25424,0.00552,0.0009704,0.0009704,0.0009704
28,561.309,1.7584,1.25662,0.00395,0.63351,0.72178,0.6797,0.33001,1.9306,1.28411,0.0067,0.0009308,0.0009308,0.0009308
29,581.343,1.79963,1.19871,0.00417,0.70603,0.68985,0.712,0.39754,1.68175,1.14406,0.00549,0.0008912,0.0008912,0.0008912
30,601.683,1.71453,1.24091,0.00397,0.6937,0.69669,0.72079,0.40216,1.68113,1.19202,0.00527,0.0008516,0.0008516,0.0008516
31,621.945,1.66604,1.17457,0.00406,0.67098,0.76968,0.73176,0.40976,1.65894,1.16126,0.00522,0.000812,0.000812,0.000812
32,642.31,1.70504,1.29882,0.004,0.66186,0.74914,0.71462,0.39042,1.70063,1.15674,0.00572,0.0007724,0.0007724,0.0007724
33,662.372,1.72361,1.32478,0.00405,0.68516,0.69669,0.70562,0.38685,1.74175,1.27299,0.00572,0.0007328,0.0007328,0.0007328
34,682.431,1.62788,1.21999,0.00382,0.68764,0.72178,0.72752,0.41239,1.6433,1.11903,0.00527,0.0006932,0.0006932,0.0006932
35,702.846,1.66119,1.24418,0.00365,0.65569,0.73546,0.70573,0.38976,1.68661,1.23924,0.00574,0.0006536,0.0006536,0.0006536
36,722.904,1.62319,1.19541,0.00386,0.67104,0.72572,0.70744,0.39477,1.67614,1.25888,0.00537,0.000614,0.000614,0.000614
37,742.9,1.6135,1.17318,0.00376,0.66874,0.76397,0.72628,0.40429,1.68169,1.11006,0.00541,0.0005744,0.0005744,0.0005744
38,762.994,1.63446,1.18667,0.00373,0.70511,0.76283,0.74593,0.4321,1.6017,1.20737,0.00519,0.0005348,0.0005348,0.0005348
39,783.234,1.61585,1.08299,0.00388,0.67251,0.77739,0.73694,0.42352,1.62707,1.10306,0.00532,0.0004952,0.0004952,0.0004952
40,803.318,1.62377,1.23165,0.00376,0.69515,0.67731,0.70465,0.39136,1.67673,1.32155,0.00546,0.0004556,0.0004556,0.0004556
41,823.765,1.58295,1.19356,0.00344,0.65062,0.74686,0.72573,0.40507,1.66709,1.14657,0.00537,0.000416,0.000416,0.000416
42,843.722,1.59094,1.32199,0.00348,0.70447,0.7366,0.73541,0.40852,1.65183,1.31425,0.0056,0.0003764,0.0003764,0.0003764
43,863.685,1.6278,1.23939,0.00358,0.69096,0.73888,0.72228,0.41855,1.59667,1.09808,0.00536,0.0003368,0.0003368,0.0003368
44,883.741,1.58604,1.22034,0.00354,0.70519,0.73914,0.72262,0.42205,1.58654,1.21077,0.0052,0.0002972,0.0002972,0.0002972
45,903.677,1.56244,1.19568,0.00348,0.69141,0.72064,0.72402,0.40819,1.66032,1.17903,0.00543,0.0002576,0.0002576,0.0002576
46,924.021,1.52188,1.10283,0.00331,0.67303,0.72178,0.71479,0.40668,1.63731,1.15078,0.00537,0.000218,0.000218,0.000218
47,943.966,1.52007,1.10806,0.00333,0.65384,0.7423,0.72059,0.41523,1.61094,1.14138,0.00535,0.0001784,0.0001784,0.0001784
48,963.889,1.55017,1.09271,0.00333,0.65787,0.74002,0.72232,0.41638,1.60014,1.13375,0.00537,0.0001388,0.0001388,0.0001388
49,983.965,1.5173,1.05685,0.00328,0.66628,0.74002,0.72306,0.41985,1.58631,1.13349,0.00525,9.92e-05,9.92e-05,9.92e-05
50,1003.98,1.52789,1.05309,0.00326,0.68353,0.72976,0.72949,0.42332,1.58505,1.13454,0.00515,5.96e-05,5.96e-05,5.96e-05
