epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.4385,2.22699,1.98912,1.40914,0.00378,0.07754,0.00029,5e-05,4.42185,2593.69,9.55322,0.000663889,0.000663889,0.000663889
2,50.5827,2.48737,2.2944,1.5633,0.03212,0.25542,0.01319,0.00327,3.65235,3.55709,2.02604,0.00127787,0.00127787,0.00127787
3,75.8453,2.43223,2.11133,1.47895,0.01038,0.0171,0.0015,0.00071,2.13355,2.68285,1.79143,0.00183904,0.00183904,0.00183904
4,101.032,2.23823,1.85652,1.384,0.21962,0.23169,0.1522,0.05394,2.61737,2.76624,1.6058,0.0017624,0.0017624,0.0017624
5,126.456,2.10865,1.69562,1.34191,0.46825,0.49943,0.44901,0.18871,2.07966,1.64145,1.33884,0.0016832,0.0016832,0.0016832
6,152.161,1.94932,1.66529,1.26297,0.38103,0.26462,0.24944,0.09061,2.64319,2.41068,1.63835,0.001604,0.001604,0.001604
7,177.666,1.97593,1.66543,1.24989,0.60649,0.59065,0.57473,0.249,2.00448,1.46963,1.28851,0.0015248,0.0015248,0.0015248
8,204.68,1.84443,1.72949,1.21085,0.60056,0.15165,0.1819,0.08265,2.54761,3.13657,1.53541,0.0014456,0.0014456,0.0014456
9,231.965,1.84613,1.72116,1.1875,0.6246,0.60889,0.59347,0.27477,1.94731,1.43169,1.29592,0.0013664,0.0013664,0.0013664
10,259.383,1.88583,1.52582,1.23905,0.40818,0.2577,0.27681,0.10929,2.50551,2.46752,1.52405,0.0012872,0.0012872,0.0012872
11,285.313,1.8581,1.43333,1.17297,0.56819,0.29647,0.36809,0.16101,2.16441,2.07142,1.36318,0.001208,0.001208,0.001208
12,310.818,1.81977,1.54523,1.17665,0.6704,0.40251,0.44009,0.2157,1.89696,1.59349,1.22297,0.0011288,0.0011288,0.0011288
13,336.076,1.78332,1.39848,1.17184,0.4669,0.41619,0.37447,0.15395,2.198,1.73363,1.37511,0.0010496,0.0010496,0.0010496
14,361.398,1.7579,1.27868,1.16822,0.69317,0.6488,0.65651,0.31836,1.79278,1.26844,1.17287,0.0009704,0.0009704,0.0009704
15,386.922,1.73899,1.3797,1.15314,0.65224,0.67047,0.68158,0.35078,1.73371,1.23316,1.16614,0.0008912,0.0008912,0.0008912
16,412.687,1.78095,1.85289,1.10965,0.60871,0.58039,0.60361,0.29034,1.85266,1.35755,1.22424,0.000812,0.000812,0.000812
17,437.923,1.76987,1.96239,1.10824,0.39522,0.29875,0.26122,0.09112,2.54861,2.19229,1.56606,0.0007328,0.0007328,0.0007328
18,463.165,1.70102,1.91715,1.08802,0.69283,0.66591,0.69368,0.36035,1.72385,1.22573,1.16261,0.0006536,0.0006536,0.0006536
19,488.836,1.65681,1.87167,1.06381,0.66961,0.6488,0.66923,0.33764,1.75623,1.23993,1.17371,0.0005744,0.0005744,0.0005744
20,514.127,1.64067,1.76924,1.05579,0.66294,0.67047,0.66988,0.34087,1.76014,1.24439,1.15878,0.0004952,0.0004952,0.0004952
21,539.486,1.61482,1.74202,1.03912,0.69773,0.71494,0.72659,0.39409,1.60931,1.1302,1.10065,0.000416,0.000416,0.000416
22,564.961,1.58361,1.80794,1.03792,0.69041,0.69783,0.7188,0.38659,1.60814,1.12577,1.10816,0.0003368,0.0003368,0.0003368
23,590.33,1.57147,1.88796,1.02179,0.70406,0.6836,0.70931,0.38579,1.62648,1.13009,1.11114,0.0002576,0.0002576,0.0002576
24,615.766,1.55727,1.72213,1.00953,0.69829,0.70727,0.729,0.39914,1.58538,1.08978,1.09067,0.0001784,0.0001784,0.0001784
25,641.358,1.49555,1.90309,1.02764,0.70638,0.69327,0.7254,0.40354,1.56726,1.0955,1.08341,9.92e-05,9.92e-05,9.92e-05
