epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0372,1.88513,1.51444,1.21458,0.6421,0.66249,0.6219,0.31294,1.76805,1.3586,1.16037,0.000663889,0.000663889,0.000663889
2,35.8716,1.83847,2.10791,1.21003,0.65033,0.6431,0.64149,0.30683,1.82372,1.38585,1.22284,0.00127787,0.00127787,0.00127787
3,54.8745,2.0182,1.76956,1.26857,0.62764,0.57697,0.56309,0.26521,1.90873,1.67757,1.29192,0.00183904,0.00183904,0.00183904
4,73.1421,2.08016,2.01012,1.29991,0.51867,0.56767,0.48999,0.17311,2.27805,1.76659,1.53799,0.0017624,0.0017624,0.0017624
5,91.0844,2.13318,1.69614,1.35978,0.38728,0.55712,0.30036,0.14579,1.91069,1.6995,1.29622,0.0016832,0.0016832,0.0016832
6,109.687,1.83508,1.6162,1.22376,0.5378,0.44128,0.47008,0.19662,2.0805,1.48826,1.32569,0.001604,0.001604,0.001604
7,128.075,1.87856,1.74914,1.23357,0.56374,0.62144,0.56415,0.26321,1.82073,1.56488,1.22282,0.0015248,0.0015248,0.0015248
8,145.962,1.71226,1.74291,1.17964,0.71888,0.55986,0.63413,0.3188,1.77849,1.58571,1.1859,0.0014456,0.0014456,0.0014456
9,163.972,1.75001,1.50453,1.14937,0.66172,0.56214,0.59301,0.29707,1.83273,1.53056,1.20203,0.0013664,0.0013664,0.0013664
10,182.093,1.74664,1.41676,1.18738,0.59374,0.64196,0.5901,0.28674,1.79838,1.33579,1.1922,0.0012872,0.0012872,0.0012872
11,200.018,1.78961,1.36667,1.15754,0.67843,0.59863,0.62398,0.31045,1.82593,1.40461,1.19358,0.001208,0.001208,0.001208
12,217.961,1.72342,1.44765,1.15113,0.66707,0.67855,0.66612,0.34192,1.69319,1.25621,1.14724,0.0011288,0.0011288,0.0011288
13,236.095,1.66544,1.39991,1.13797,0.6717,0.67889,0.68065,0.35323,1.68818,1.21584,1.1512,0.0010496,0.0010496,0.0010496
14,254.378,1.67109,1.24223,1.14271,0.69241,0.68789,0.68226,0.35154,1.69979,1.21817,1.15593,0.0009704,0.0009704,0.0009704
15,272.347,1.67428,1.29929,1.13377,0.67779,0.69327,0.68917,0.35771,1.68773,1.21741,1.15032,0.0008912,0.0008912,0.0008912
16,290.712,1.72344,1.66725,1.10281,0.66204,0.64766,0.66823,0.35502,1.65546,1.32794,1.13398,0.000812,0.000812,0.000812
17,308.606,1.68988,1.62436,1.08721,0.66712,0.53364,0.58569,0.30183,1.8001,1.34428,1.1848,0.0007328,0.0007328,0.0007328
18,327.525,1.6649,1.49612,1.07571,0.67409,0.68871,0.6754,0.35892,1.62834,1.26457,1.09698,0.0006536,0.0006536,0.0006536
19,346.837,1.62127,1.55304,1.05391,0.78909,0.47092,0.55238,0.28964,1.71216,1.5145,1.13048,0.0005744,0.0005744,0.0005744
20,365.762,1.6104,1.51944,1.04489,0.64917,0.71152,0.69392,0.36505,1.63076,1.18477,1.10537,0.0004952,0.0004952,0.0004952
21,384.735,1.57783,1.57314,1.0414,0.6818,0.68757,0.69226,0.36201,1.64931,1.25311,1.11505,0.000416,0.000416,0.000416
22,403.554,1.57256,1.39578,1.03464,0.68918,0.69669,0.71007,0.38257,1.60479,1.23048,1.10844,0.0003368,0.0003368,0.0003368
23,422.535,1.58096,1.36512,1.02861,0.70612,0.66591,0.70129,0.37669,1.60588,1.28181,1.093,0.0002576,0.0002576,0.0002576
24,440.688,1.54742,1.31024,1.01259,0.70498,0.67389,0.7,0.3756,1.59312,1.22349,1.08777,0.0001784,0.0001784,0.0001784
25,458.682,1.52024,1.30519,1.04256,0.70941,0.67365,0.70732,0.38704,1.57966,1.24332,1.08284,9.92e-05,9.92e-05,9.92e-05
