epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,43.1891,1.81456,1.49312,1.16301,0.5868,0.55074,0.54147,0.22496,1.99127,3.85023,1.24862,0.00995833,0.00331944,0.00995833,0.00331944,0.00995833,0.00331944,0.00995833,0.00331944
2,86.7105,2.0115,2.13227,1.263,0.23371,0.3569,0.17997,0.05452,2.65594,2.5424,1.70039,0.0195632,0.00652105,0.0195632,0.00652105,0.0195632,0.00652105,0.0195632,0.00652105
3,130.788,2.56974,2.26085,1.58107,0.00375,0.05017,0.00035,6e-05,4.6673,21.7083,6.95734,0.028772,0.00959066,0.028772,0.00959066,0.028772,0.00959066,0.028772,0.00959066
4,174.459,2.62326,2.15081,1.62263,0.00889,0.18244,0.002,0.00048,3.60551,3.26675,2.06549,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,218.131,2.3037,1.82587,1.44622,0.36504,0.36374,0.30381,0.09959,2.60373,1.86672,1.58326,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,262.193,2.05789,1.77489,1.3312,0.4478,0.29076,0.28675,0.11539,2.40831,2.44395,1.4962,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,306.457,2.08532,1.68824,1.30373,0.63252,0.42303,0.51276,0.21929,2.1114,1.71336,1.3367,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,350.951,1.89309,1.75151,1.24662,0.3502,0.0992,0.15259,0.04934,2.77479,2.58282,1.63233,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,395.258,1.89162,1.75176,1.21257,0.60929,0.59293,0.59122,0.28073,1.90257,1.36245,1.2471,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,439.026,1.93648,1.52295,1.25993,0.55057,0.28962,0.31085,0.12013,2.41974,2.43339,1.48075,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,482.584,1.88002,1.47413,1.18917,0.62799,0.5325,0.56762,0.26418,1.95819,1.52041,1.25553,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,527.485,1.88273,1.52964,1.20323,0.53879,0.32725,0.33799,0.13515,2.31944,2.30181,1.43477,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,571.674,1.80736,1.44256,1.18645,0.6554,0.64082,0.63786,0.29958,1.89398,1.36404,1.23437,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,616.929,1.79489,1.36232,1.1716,0.66171,0.67731,0.65977,0.31955,1.83713,1.26423,1.20376,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,660.997,1.78087,1.42357,1.17496,0.63669,0.71722,0.68022,0.3453,1.72606,1.2268,1.17433,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,707.052,1.73547,1.56363,1.15324,0.71125,0.67731,0.7138,0.35873,1.74442,1.17082,1.16842,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,753.027,1.67924,1.46186,1.13457,0.67178,0.49487,0.5689,0.27318,1.85508,1.56494,1.22519,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,796.547,1.75108,1.33819,1.13353,0.70022,0.69248,0.71028,0.36983,1.65069,1.22762,1.13574,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,841.365,1.62382,1.17622,1.0894,0.68077,0.58039,0.63312,0.32057,1.77282,1.36279,1.17812,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,887.34,1.62734,1.45446,1.07568,0.68218,0.70924,0.68726,0.35032,1.69176,1.18877,1.14661,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,934.216,1.62609,1.21468,1.12298,0.6686,0.69703,0.68124,0.35548,1.65344,1.19536,1.13292,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,981.875,1.64789,1.38443,1.12219,0.41604,0.27458,0.22055,0.08834,2.49982,2.43882,1.50984,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,1027.42,1.55868,1.62617,1.06688,0.70554,0.68871,0.69811,0.37588,1.64429,1.15964,1.1248,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,1073.22,1.52946,1.60525,1.06079,0.7369,0.68871,0.72096,0.379,1.67505,1.24634,1.13157,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,1118.25,1.51937,1.3762,1.05002,0.68614,0.70125,0.7049,0.37981,1.59737,1.09968,1.09646,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,1164.16,1.55961,1.3112,1.089,0.68901,0.71266,0.70584,0.38448,1.61034,1.1341,1.09629,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,1210.24,1.54775,1.07223,1.08005,0.71527,0.69213,0.71587,0.39391,1.58042,1.09226,1.09108,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,1254.99,1.49225,1.22594,1.04021,0.73553,0.68301,0.72518,0.39914,1.56064,1.11262,1.0926,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,1301.02,1.50952,1.02103,1.05126,0.69318,0.68073,0.70719,0.39044,1.58873,1.12148,1.09983,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,1346.02,1.50816,1.16254,1.05692,0.71722,0.71152,0.73172,0.40917,1.54059,1.0793,1.07725,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,1390.04,1.44132,1.11225,1.0609,0.70358,0.77134,0.7442,0.42294,1.50974,1.01468,1.07429,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,1434.52,1.4751,1.23116,1.05743,0.72705,0.76541,0.7533,0.42436,1.52272,1.04108,1.06884,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,1479.99,1.49518,1.18409,1.06649,0.74178,0.70353,0.75439,0.42313,1.53894,1.04715,1.07042,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,1526.04,1.39154,1.33158,1.00818,0.72165,0.74458,0.74881,0.42066,1.54939,1.05014,1.07838,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,1571.42,1.40476,1.07762,0.99598,0.72619,0.69213,0.73607,0.40852,1.53972,1.07486,1.07681,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,1618.04,1.36983,1.0005,1.02242,0.72593,0.74572,0.75391,0.43524,1.49485,1.02083,1.06209,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,1664.2,1.36748,1.04741,1.01722,0.73665,0.70696,0.75207,0.43433,1.51313,1.01995,1.05815,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,1709.13,1.40034,1.12459,1.01059,0.73558,0.72958,0.7521,0.42884,1.49595,1.01428,1.05684,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,1753.5,1.32683,1.02313,1.00958,0.75743,0.69441,0.74845,0.43092,1.50318,1.03494,1.05899,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,1799.21,1.34916,1.08634,1.00258,0.75606,0.69268,0.75062,0.42487,1.52147,1.03136,1.06649,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,1844.65,1.41716,1.37625,0.97527,0.74562,0.69518,0.7447,0.42288,1.50057,1.01505,1.06481,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,1890.29,1.38542,1.36186,0.97289,0.72467,0.72929,0.75093,0.4297,1.50036,1.0299,1.06106,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
