epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9317,1.88513,1.51444,1.21458,0.6421,0.66249,0.6219,0.31294,1.76805,1.3586,1.16037,0.000663889,0.000663889,0.000663889
2,36.2757,1.84999,2.08282,1.21413,0.65932,0.62942,0.64241,0.30494,1.84588,1.38408,1.23157,0.00130421,0.00130421,0.00130421
3,55.2205,2.08874,1.86685,1.29701,0.31846,0.46066,0.22303,0.09696,1.91079,2.08807,1.27693,0.00191813,0.00191813,0.00191813
4,72.9583,1.99619,2.00777,1.26693,0.43155,0.50987,0.42935,0.19906,1.96616,2.01402,1.28919,0.0018812,0.0018812,0.0018812
5,90.7106,2.06456,1.73628,1.32351,0.46373,0.29989,0.29025,0.12006,2.24001,2.1654,1.47478,0.0018416,0.0018416,0.0018416
6,108.814,1.88908,1.71443,1.25188,0.5344,0.56214,0.48845,0.22458,1.95218,1.60301,1.29773,0.001802,0.001802,0.001802
7,126.807,1.97365,1.94444,1.24963,0.60623,0.60205,0.5653,0.27046,1.93144,1.66603,1.27212,0.0017624,0.0017624,0.0017624
8,144.673,1.84352,1.76997,1.23492,0.651,0.536,0.57447,0.25815,1.98021,1.72441,1.3121,0.0017228,0.0017228,0.0017228
9,162.72,1.90358,1.63647,1.22044,0.57919,0.46066,0.46497,0.21505,2.09289,1.89715,1.36816,0.0016832,0.0016832,0.0016832
10,180.979,1.88835,1.57825,1.24322,0.50747,0.40767,0.32144,0.12214,2.41984,2.10051,1.43352,0.0016436,0.0016436,0.0016436
11,199.098,1.88821,1.55624,1.20875,0.56513,0.27252,0.26958,0.11995,2.20134,2.01343,1.4165,0.001604,0.001604,0.001604
12,216.878,1.84778,1.62818,1.20057,0.38979,0.0878,0.07867,0.03935,2.76757,3.71545,1.92957,0.0015644,0.0015644,0.0015644
13,234.743,1.78566,1.44756,1.19459,0.57079,0.45724,0.42806,0.20676,2.21139,2.32233,1.35183,0.0015248,0.0015248,0.0015248
14,252.827,1.78571,1.41595,1.18998,0.62187,0.07689,0.1085,0.04261,2.91596,3.41795,1.76971,0.0014852,0.0014852,0.0014852
15,271.749,1.85677,1.49698,1.22171,0.48839,0.37286,0.38237,0.16948,2.269,1.76866,1.47763,0.0014456,0.0014456,0.0014456
16,291.189,1.77412,1.93197,1.18227,0.59281,0.62416,0.60205,0.30885,1.7661,1.4423,1.20148,0.001406,0.001406,0.001406
17,310.946,1.75684,1.56554,1.17707,0.68234,0.58723,0.61466,0.30209,1.82397,1.43311,1.2001,0.0013664,0.0013664,0.0013664
18,328.969,1.77732,1.46135,1.14766,0.42034,0.14709,0.13541,0.06289,2.54455,2.58252,1.56721,0.0013268,0.0013268,0.0013268
19,347.37,1.65348,1.32612,1.10787,0.64658,0.68216,0.67782,0.34159,1.7213,1.34498,1.15358,0.0012872,0.0012872,0.0012872
20,367.161,1.67568,1.50402,1.10088,0.52112,0.43558,0.44609,0.20845,2.03964,1.62445,1.31925,0.0012476,0.0012476,0.0012476
